word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
your,0.85148,306.831433,2401.838068,3688.850421,4503.617808
your,0.86398,298.027702,2413.227376,3656.608725,4477.351517
your,0.87648,286.710102,2495.294643,3640.125609,4401.937377
your,0.88898,275.998488,2620.5681,3669.86492,4358.084811
your,0.90148,255.080774,2666.720501,3738.065761,4272.455565
your,0.91398,225.399774,2731.520198,3698.092626,4239.608042
your,0.92648,215.371513,2675.189922,3613.304023,4206.924986
your,0.93898,212.294775,2670.41615,3510.360721,4167.741211
your,0.95148,205.651838,2635.228993,3467.381581,4089.815684
your,0.96398,205.448144,2594.585913,3300.68226,4070.256917
your,0.97648,242.320555,2474.652545,3045.957112,3909.002989
your,0.98898,296.723784,2145.406127,2861.269678,3880.217502
your,1.00148,352.925629,1799.538476,2607.837954,4088.87576
your,1.01398,418.638056,1649.341036,2501.639634,4138.411539
your,1.02648,465.427916,1537.01759,2382.313689,4112.161305
your,1.03898,491.277411,1459.781933,2412.0448,4148.702038
your,1.05148,516.028796,1430.212319,2497.048181,4173.875343
your,1.06398,566.070513,1491.273004,2390.27112,4190.083236
your,1.07648,607.596762,1551.535489,2573.409877,4187.028948
your,1.08898,613.9569,1526.678327,2607.219539,4129.26326
your,1.10148,606.697974,1540.690018,2637.098607,4105.624364
your,1.11398,591.016968,1583.667708,2654.941725,4112.858504
your,1.12648,572.06026,1650.406756,2743.100687,4075.09903
your,1.13898,507.966789,1659.595385,2855.320306,4112.421695
your,1.15148,437.671955,1685.887123,2847.876361,4206.061428
your,1.16398,337.016843,1743.75098,2828.928799,4077.711504
your,1.17648,252.46135,1886.722675,2830.612287,4336.630508
your,1.18898,250.676561,1732.617293,2375.464414,4394.745865
your,1.20148,260.504933,1629.327953,2383.759046,4385.651644
good,1.22648,916.0668,2104.76798,3142.336393,4946.747399
good,1.23898,948.493301,2109.340118,3054.752756,3741.2299
good,1.25148,1299.510205,2133.324338,4183.548994,4985.157363
good,1.26398,1249.778049,2125.908246,4205.388124,4963.026825
good,1.27648,450.289735,1993.196863,3070.754874,4808.417609
good,1.28898,478.985256,1735.684144,3087.600593,4708.86762
good,1.30148,500.43814,1558.116507,3249.204982,4629.155822
good,1.31398,524.186217,1521.833151,3309.04724,4625.448254
good,1.32648,551.275046,1545.936429,3370.501856,4642.576284
good,1.33898,563.799677,1546.71115,3456.769596,4621.162285
good,1.35148,567.524471,1527.932674,3422.71885,4662.811539
good,1.36398,570.052971,1506.939579,3430.639502,4676.986482
good,1.37648,597.075691,1474.387448,3447.453231,4663.926535
good,1.38898,569.733163,1421.131943,3431.87633,4629.211988
good,1.40148,485.482482,1383.472263,3382.421071,4558.288462
good,1.41398,462.747116,1359.19103,3339.94825,4464.798576
good,1.42648,433.951184,1366.914387,3349.059294,4467.811664
pants,1.52648,527.61182,1957.953101,3149.398914,4366.486542
pants,1.53898,1423.043356,2032.56862,3117.895216,4384.603733
pants,1.55148,932.335136,2002.288783,3032.165783,4432.209024
pants,1.56398,742.725705,2044.759868,3076.385877,4467.050456
pants,1.57648,833.99666,2179.549249,3244.376445,4475.161388
pants,1.58898,910.524098,2232.025938,3264.059719,4475.969124
pants,1.60148,939.164603,2225.335376,3180.393336,4417.104452
pants,1.61398,789.367726,2198.922999,3180.480402,4375.570863
pants,1.62648,778.088688,2207.444486,3213.395548,4434.58038
pants,1.63898,867.425491,2146.295769,3205.970933,4596.332189
pants,1.65148,852.538599,1996.31741,3220.145179,4556.861777
pants,1.66398,878.198775,1951.480286,3218.719327,4552.245862
pants,1.67648,892.995561,1904.12728,3269.668001,4604.153173
pants,1.68898,886.557797,1882.957107,3304.636833,4849.362049
pants,1.70148,877.226177,1867.449452,3257.539293,4916.568128
pants,1.71398,876.024454,1823.02166,3274.644708,4767.192726
pants,1.72648,856.702669,1734.989437,3301.020846,4787.06979
pants,1.73898,830.344647,1700.914392,3282.411956,4766.896494
pants,1.75148,794.523317,1689.562098,3332.577034,4826.610245
pants,1.76398,710.889196,1729.100055,3339.20773,4853.362578
pants,1.77648,441.948784,1718.154758,3452.739803,5081.48687
pants,1.78898,227.509039,1575.12683,1738.656571,3510.103586
pants,1.80148,218.976619,1158.448388,2198.065285,3516.914344
pants,1.81398,221.082289,1715.450039,3437.806749,4441.897044
pants,1.82648,725.974175,2279.244752,3632.026346,4717.144066
pants,1.83898,946.501161,2514.13254,3776.72749,4924.007805
pants,1.85148,838.425454,1912.416083,3346.776257,4507.086386
pants,1.86398,1024.891586,1891.765288,3388.767571,4601.363372
pants,1.87648,1066.243817,1892.009231,3426.616296,4615.435834
pants,1.88898,815.770132,2020.390789,3415.111224,4700.327281
pants,1.90148,744.893205,1925.352627,3377.249437,4787.338937
pants,1.91398,876.555692,1936.48143,3421.795747,4788.792474
pants,1.92648,1089.251297,2466.502894,4307.456787,4664.465936
look,1.93898,225.773463,2456.488848,2708.089495,4455.056328
look,1.95148,264.390821,2143.801685,3115.956938,4807.159981
look,1.96398,259.939618,1703.926323,3154.608202,4379.912267
look,1.97648,260.376763,1645.926731,3199.871762,4423.14544
look,1.98898,258.558119,1655.685689,3236.764053,4455.023998
look,2.00148,270.516691,1804.703239,3285.784538,4716.85605
look,2.01398,396.205065,1712.002592,3185.409386,4337.321162
look,2.02648,436.401307,1575.381078,3041.975523,4277.304272
look,2.03898,457.46018,1515.768391,2994.678879,4274.120804
look,2.05148,470.233636,1456.037895,2988.084999,4263.823446
look,2.06398,462.193612,1357.719007,3018.794746,4325.493559
look,2.07648,432.033232,1241.315244,2994.123618,4410.995089
look,2.08898,390.705433,1213.362321,2916.949073,4507.707584
look,2.10148,338.839112,1277.390586,2898.139793,4638.497052
look,2.11398,255.627271,1371.174649,2971.020389,4664.034061
look,2.12648,277.59712,1493.309933,3081.837443,4544.531374
look,2.13898,295.196685,1922.174227,3250.338949,4522.448295
great,2.23898,971.930934,1739.325246,3131.032187,4081.164896
great,2.25148,902.947643,1656.609769,2512.448767,3994.450369
great,2.26398,503.74488,1539.963048,2606.268109,3956.183318
great,2.27648,433.477656,1301.971434,2713.006262,3789.883866
great,2.28898,446.594236,1256.520061,2635.664595,3705.575606
great,2.30148,481.587237,1289.867759,2517.163628,3712.504829
great,2.31398,550.235458,1346.85226,2494.910876,3759.68434
great,2.32648,631.990238,1468.481491,2562.368123,3864.592872
great,2.33898,676.325683,1549.014259,2586.600421,3925.105224
great,2.35148,727.4786,1588.230775,2577.440378,4004.839782
great,2.36398,799.803279,1790.169788,2650.586062,4102.593532
great,2.37648,834.260996,1888.745643,2739.866363,4144.803236
great,2.38898,853.772333,1980.943963,2827.675733,4163.060475
great,2.40148,851.854225,2107.766166,2881.028076,4163.47316
great,2.41398,829.682077,2153.090599,2908.241223,4213.179812
great,2.42648,799.503455,2238.599919,2928.716412,4260.598229
great,2.43898,745.290574,2278.007918,2967.151243,4264.799036
great,2.45148,685.244885,2311.563512,2960.950712,4259.619357
great,2.46398,629.706723,2385.684024,2984.646248,4222.835789
great,2.47648,573.995088,2471.827205,2912.628062,4196.605251
great,2.48898,525.670751,2501.750806,2874.348504,4278.302532
great,2.50148,468.474262,2523.734829,2816.903023,4356.568034
great,2.51398,436.531547,2617.693812,2826.904265,4382.732478
great,2.52648,412.473862,2611.627644,2947.049273,4456.408916
great,2.53898,379.19939,2585.877348,3052.798767,4490.990865
great,2.55148,311.017599,2561.850934,3093.241986,4486.616008
great,2.56398,284.355595,2523.339844,2968.226736,4470.702671
great,2.57648,260.112874,2478.262311,2876.962831,4468.11103
great,2.58898,243.582527,2458.492946,2892.261128,4504.701049
great,2.60148,226.624912,2487.386275,3082.84916,4497.213973
great,2.61398,203.202416,2534.130788,3559.036752,4688.605803
great,2.62648,194.499446,1955.424052,2813.966545,3871.445756
great,2.63898,995.683768,2449.685169,3574.681035,4674.476936
great,2.65148,871.053298,2327.338768,3511.175154,4679.155981
great,2.66398,792.992575,2219.63535,3437.560881,4882.694079
great,2.67648,699.304068,2201.875581,3324.008071,4590.668576
great,2.68898,647.984557,2233.986224,3260.918787,4531.758247
great,2.70148,879.58765,2240.518906,3235.807546,4574.629471
great,2.71398,772.289539,2276.91418,3218.365507,4474.877195
great,2.72648,741.803313,2234.238594,3233.724346,4465.093883
great,2.73898,786.629841,2198.300858,3243.103755,4548.520218
great,2.75148,803.713814,2175.268469,3228.974346,4590.572109
great,2.76398,874.41939,2206.99529,3238.203979,4599.851679
